Id,N1,N2,N3,N4,N5,N6,Date
425,7,11,14,30,35,42,10/4/2019
426,3,12,15,16,17,44,12/4/2019
427,4,13,20,34,35,37,14/04/2019
428,7,11,21,25,30,44,17/04/2019
429,1,4,5,12,17,21,19/04/2019
430,8,11,13,20,41,43,21/04/2019
431,4,7,12,13,20,45,24/04/2019
432,1,2,14,15,16,30,26/04/2019
433,4,24,28,30,33,43,28/04/2019
434,18,23,24,27,33,41,1/5/2019
435,1,6,14,31,35,44,3/5/2019
436,13,27,30,38,39,41,5/5/2019
437,1,7,8,31,34,45,8/5/2019
438,5,23,25,30,35,38,10/5/2019
439,1,8,13,17,21,43,12/5/2019
440,17,28,29,33,34,35,15/05/2019
441,6,16,18,29,39,43,17/05/2019
442,2,11,19,27,30,42,19/05/2019
443,1,13,16,22,23,35,22/05/2019
444,2,3,31,33,35,40,24/05/2019
445,11,12,14,23,29,32,26/05/2019
446,12,18,19,27,35,42,29/05/2019
447,5,6,7,12,23,30,31/05/2019
448,2,5,12,35,41,43,2/6/2019
449,4,8,22,25,37,39,5/6/2019
450,11,13,15,26,27,41,7/6/2019
451,2,6,22,25,35,36,9/6/2019
452,10,11,21,23,26,37,12/6/2019
453,2,12,16,36,37,45,14/06/2019
454,6,7,19,29,31,36,16/06/2019
455,2,4,11,15,35,40,19/06/2019
456,1,4,19,21,23,39,21/06/2019
457,3,8,11,27,32,36,23/06/2019
458,1,5,9,10,33,41,26/06/2019
459,11,25,37,40,41,45,28/06/2019
460,5,20,22,25,28,32,30/06/2019
461,2,7,25,29,39,45,3/7/2019
462,19,21,30,31,37,43,5/7/2019
463,2,18,21,23,30,31,7/7/2019
464,1,2,6,7,16,27,10/7/2019
465,16,18,24,26,40,44,12/7/2019
466,2,3,7,25,33,34,14/07/2019
467,10,11,16,22,28,35,17/07/2019
468,9,12,23,26,28,43,19/07/2019
469,7,8,10,24,33,44,21/07/2019
470,20,22,25,39,44,45,24/07/2019
471,5,14,16,22,25,33,26/07/2019
472,5,14,16,24,42,43,28/07/2019
473,6,12,15,19,25,45,31/07/2019
474,11,18,20,22,25,26,2/8/2019
475,6,10,21,30,43,45,4/8/2019
476,1,5,13,31,32,43,7/8/2019
477,11,19,26,28,30,42,9/8/2019
478,1,4,7,9,25,31,11/8/2019
479,13,20,22,24,33,34,14/08/2019
480,6,14,15,19,31,39,16/08/2019
481,2,7,18,21,24,33,18/08/2019
482,6,8,17,20,21,31,21/08/2019
483,6,7,12,17,19,24,23/08/2019
484,7,8,15,20,24,31,25/08/2019
485,1,4,12,14,19,30,28/08/2019
486,5,6,22,23,25,44,30/08/2019
487,5,7,14,16,29,40,1/9/2019
488,1,9,11,23,30,37,4/9/2019
489,2,4,13,15,26,31,6/9/2019
490,6,9,11,26,28,36,8/9/2019
491,21,25,29,32,34,35,11/9/2019
492,2,15,17,25,30,38,13/09/2019
493,8,9,28,33,35,43,15/09/2019
494,3,9,13,17,19,20,18/09/2019
495,7,12,24,29,31,45,20/09/2019
496,3,6,21,36,38,39,22/09/2019
497,9,14,22,26,44,45,25/09/2019
498,6,9,11,28,37,44,27/09/2019
499,2,9,12,18,21,23,29/09/2019
500,2,6,7,25,28,41,2/10/2019
501,2,9,24,25,30,36,4/10/2019
502,1,6,17,30,44,45,6/10/2019
503,3,12,21,24,28,32,9/10/2019
504,6,12,14,27,28,36,11/10/2019
505,6,22,28,31,37,40,13/10/2019
506,1,4,23,28,41,42,16/10/2019
507,4,14,15,22,28,39,18/10/2019
508,1,3,8,15,38,40,20/10/2019
509,2,9,21,23,32,41,23/10/2019
510,4,7,9,22,32,37,25/10/2019
511,1,19,29,30,40,42,27/10/2019
512,2,5,8,12,29,38,30/10/2019
513,6,11,20,30,37,40,1/11/2019
514,28,30,32,38,44,45,3/11/2019
515,3,15,22,23,38,43,6/11/2019
516,4,16,19,30,32,44,8/11/2019
517,4,14,21,28,32,36,10/11/2019
518,17,19,24,30,31,40,13/11/2019
519,2,13,27,33,40,41,15/11/2019
520,6,7,14,31,39,44,17/11/2019
521,10,21,22,24,43,44,20/11/2019
522,1,9,10,19,30,38,22/11/2019
523,5,21,24,28,29,34,24/11/2019
524,3,5,13,19,20,33,27/11/2019
525,14,15,16,17,19,34,29/11/2019
526,3,14,16,27,31,35,1/12/2019
527,16,19,24,30,32,35,4/12/2019
528,2,20,26,35,43,45,6/12/2019
529,12,20,30,31,34,44,8/12/2019
530,1,2,8,27,29,39,11/12/2019
531,2,8,9,25,26,40,13/12/2019
532,3,13,15,16,22,36,15/12/2019
533,8,9,12,19,22,25,18/12/2019
534,1,9,16,27,38,45,20/12/2019
535,9,10,11,18,22,36,22/12/2019
536,10,18,25,26,36,43,25/12/2019
537,2,7,10,12,33,43,27/12/2019
538,7,12,21,24,35,43,29/12/2019
539,8,10,23,26,37,38,1/1/2020
540,1,15,17,26,32,44,3/1/2020
541,5,11,12,26,44,45,5/1/2020
542,2,4,10,21,25,43,8/1/2020
543,10,18,24,35,41,43,10/1/2020
544,7,12,17,21,35,45,12/1/2020
545,2,8,19,31,38,44,15/01/2020
546,8,26,28,37,40,42,17/01/2020
547,1,4,19,25,35,39,19/01/2020
548,1,15,16,34,36,42,22/01/2020
549,4,5,9,25,33,37,26/01/2020
550,3,10,16,24,39,44,29/01/2020
551,8,9,20,25,30,40,31/01/2020
552,1,4,16,32,35,38,2/2/2020
553,9,19,24,37,38,45,5/2/2020
554,6,11,15,33,40,44,7/2/2020
555,1,4,18,22,26,35,9/2/2020
556,5,13,16,20,24,35,12/2/2020
557,4,14,24,32,36,43,14/02/2020
558,1,4,14,36,37,41,16/02/2020
559,1,16,23,25,30,38,19/02/2020
560,13,15,22,28,29,41,21/02/2020
561,1,6,16,23,34,42,23/02/2020
562,2,10,12,20,24,39,26/02/2020
563,2,19,23,27,29,38,28/02/2020
564,1,6,7,13,26,39,1/3/2020
565,1,7,17,24,35,41,4/3/2020
566,6,9,10,16,26,42,6/3/2020
567,3,13,17,19,21,43,8/3/2020
568,12,16,29,35,37,44,11/3/2020
569,8,13,20,28,35,45,13/03/2020
570,4,7,11,17,19,31,15/03/2020
571,6,21,30,37,38,45,18/03/2020
572,8,23,29,37,39,44,20/03/2020
573,2,10,19,22,24,29,22/03/2020
574,26,31,33,37,38,45,25/03/2020
575,1,6,10,35,36,45,27/03/2020
576,7,10,23,36,39,44,29/03/2020
577,10,31,37,39,40,43,24/04/2020
578,5,25,30,36,37,41,26/04/2020
579,1,8,11,13,15,32,29/04/2020
580,6,7,16,37,40,44,1/5/2020
581,5,18,29,32,38,44,3/5/2020
582,3,18,25,29,30,44,6/5/2020
583,1,3,7,12,22,25,8/5/2020
584,7,9,23,32,33,37,10/5/2020
585,6,20,21,35,40,45,13/05/2020
586,3,12,13,28,33,36,15/05/2020
587,2,4,21,30,33,37,17/05/2020
588,1,8,15,23,25,39,20/05/2020
589,3,8,19,28,35,41,22/05/2020
590,1,29,30,32,34,35,24/05/2020
591,6,15,29,30,37,42,27/05/2020
592,4,10,23,26,35,37,29/05/2020
593,1,6,13,27,35,40,31/05/2020
594,1,15,17,19,40,43,3/6/2020
595,10,13,22,28,38,43,5/6/2020
596,6,7,11,16,23,44,7/6/2020
597,2,11,23,25,26,35,10/6/2020
598,5,16,22,27,30,31,12/6/2020
599,19,22,24,41,44,45,14/06/2020
600,7,16,28,33,34,45,17/06/2020
601,4,12,17,19,32,45,19/06/2020
602,7,9,13,33,40,44,21/06/2020
603,7,17,18,32,39,40,24/06/2020
604,9,23,27,30,38,41,26/06/2020
605,4,15,24,36,37,41,28/06/2020
606,10,13,14,26,32,33,1/7/2020
607,4,5,17,18,22,36,3/7/2020
608,5,8,10,17,22,31,5/7/2020
609,14,15,17,21,31,38,8/7/2020
610,18,20,22,33,35,39,10/7/2020
611,2,15,21,27,31,35,12/7/2020
612,10,11,18,19,20,45,15/07/2020
613,4,10,18,20,32,45,17/07/2020
614,1,13,14,19,42,45,19/07/2020
615,9,13,18,24,26,42,22/07/2020
616,4,25,31,35,39,41,24/07/2020
617,5,15,21,39,43,45,26/07/2020
618,6,14,26,41,42,43,29/07/2020
619,4,9,19,29,36,41,31/07/2020
620,6,9,12,17,41,42,2/8/2020
621,14,18,19,32,33,38,5/8/2020
